,fit_time,score_time,test_score,clf,param,y_name,cr on test,test_on_pos_class,test_on_neg_class,pos_class,test_score_mean,test_score_std,classes_
0,[0.03124118 0.04692101 0.06297922 0.04686093 0.03126431],[0.01562619 0.01561785 0.         0.         0.01563549],[0.53731117 0.47187273 0.45386814 0.45265568 0.55500489],"SVC(class_weight='balanced', kernel='linear', probability=True)",{},target_k,"{'0.0': {'precision': 0.4523809523809524, 'recall': 1.0, 'f1-score': 0.6229508196721312, 'support': 38}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29}, '2.0': {'precision': 1.0, 'recall': 0.22727272727272727, 'f1-score': 0.37037037037037035, 'support': 22}, 'accuracy': 0.48314606741573035, 'macro avg': {'precision': 0.48412698412698413, 'recall': 0.4090909090909091, 'f1-score': 0.3311070633475005, 'support': 89}, 'weighted avg': {'precision': 0.44034242910647403, 'recall': 0.48314606741573035, 'f1-score': 0.35753122804145093, 'support': 89}}","{'precision': 1.0, 'recall': 0.22727272727272727, 'f1-score': 0.37037037037037035, 'support': 22}","{'precision': 0.4523809523809524, 'recall': 1.0, 'f1-score': 0.6229508196721312, 'support': 38}",2.0,0.49414252107957973,0.04337484941103319,[0. 1. 2.]
1,[0.0316782  0.04688001 0.04731226 0.04688358 0.04730153],[0.0156467 0.        0.        0.        0.       ],[0.23690141 0.23690141 0.26351658 0.25974026 0.26509573],"SVC(kernel='linear', probability=True)",{},target_k,"{'0.0': {'precision': 0.42696629213483145, 'recall': 1.0, 'f1-score': 0.5984251968503937, 'support': 38}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29}, '2.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 22}, 'accuracy': 0.42696629213483145, 'macro avg': {'precision': 0.14232209737827714, 'recall': 0.3333333333333333, 'f1-score': 0.19947506561679793, 'support': 89}, 'weighted avg': {'precision': 0.1823002146193662, 'recall': 0.42696629213483145, 'f1-score': 0.25550738741926926, 'support': 89}}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 22}","{'precision': 0.42696629213483145, 'recall': 1.0, 'f1-score': 0.5984251968503937, 'support': 38}",2.0,0.25243107780522356,0.012798806389309296,[0. 1. 2.]
2,[0.07053709 0.07855558 0.06291771 0.06289935 0.04687333],[0.         0.01563358 0.01562929 0.01564598 0.0156374 ],[0.58428129 0.53010819 0.51408755 0.59736536 0.60486603],"OrdinalClassifier(estimator=SVC(class_weight='balanced', kernel='linear',
                                probability=True),
                  reverse_classes=True)",{'reverse_classes': True},target_k,"{'0.0': {'precision': 0.7105263157894737, 'recall': 0.7105263157894737, 'f1-score': 0.7105263157894737, 'support': 38}, '1.0': {'precision': 0.42105263157894735, 'recall': 0.27586206896551724, 'f1-score': 0.3333333333333333, 'support': 29}, '2.0': {'precision': 0.59375, 'recall': 0.8636363636363636, 'f1-score': 0.7037037037037037, 'support': 22}, 'accuracy': 0.6067415730337079, 'macro avg': {'precision': 0.575109649122807, 'recall': 0.6166749161304516, 'f1-score': 0.5825211176088368, 'support': 89}, 'weighted avg': {'precision': 0.5873373743347132, 'recall': 0.6067415730337079, 'f1-score': 0.5859342488555971, 'support': 89}}","{'precision': 0.59375, 'recall': 0.8636363636363636, 'f1-score': 0.7037037037037037, 'support': 22}","{'precision': 0.7105263157894737, 'recall': 0.7105263157894737, 'f1-score': 0.7105263157894737, 'support': 38}",2.0,0.5661416815785041,0.036909576742667004,[2. 1. 0.]
3,[0.05357742 0.04689193 0.03168297 0.03125644 0.02565408],[0.00952435 0.01562572 0.0156498  0.         0.00602889],[0.56417378 0.52540981 0.55104097 0.55058751 0.58100449],"OrdinalClassifier(estimator=SVC(kernel='linear', probability=True))",{'reverse_classes': False},target_k,"{'0.0': {'precision': 0.673469387755102, 'recall': 0.868421052631579, 'f1-score': 0.7586206896551724, 'support': 38}, '1.0': {'precision': 0.5, 'recall': 0.1724137931034483, 'f1-score': 0.25641025641025644, 'support': 29}, '2.0': {'precision': 0.6333333333333333, 'recall': 0.8636363636363636, 'f1-score': 0.7307692307692307, 'support': 22}, 'accuracy': 0.6404494382022472, 'macro avg': {'precision': 0.6022675736961451, 'recall': 0.6348237364571303, 'f1-score': 0.5819333922782198, 'support': 89}, 'weighted avg': {'precision': 0.6070243827868226, 'recall': 0.6404494382022472, 'f1-score': 0.5880944575249109, 'support': 89}}","{'precision': 0.6333333333333333, 'recall': 0.8636363636363636, 'f1-score': 0.7307692307692307, 'support': 22}","{'precision': 0.673469387755102, 'recall': 0.868421052631579, 'f1-score': 0.7586206896551724, 'support': 38}",2.0,0.5544433086574581,0.018273288537591373,[0. 1. 2.]
4,[0.03125644 0.03125048 0.0468998  0.0312469  0.03125262],[0.         0.         0.         0.         0.01562119],[0.53731117 0.47187273 0.45386814 0.45265568 0.55500489],"SVC(class_weight='balanced', kernel='linear', probability=True)",{},target_k,"{'0.0': {'precision': 0.4523809523809524, 'recall': 1.0, 'f1-score': 0.6229508196721312, 'support': 38}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29}, '2.0': {'precision': 1.0, 'recall': 0.22727272727272727, 'f1-score': 0.37037037037037035, 'support': 22}, 'accuracy': 0.48314606741573035, 'macro avg': {'precision': 0.48412698412698413, 'recall': 0.4090909090909091, 'f1-score': 0.3311070633475005, 'support': 89}, 'weighted avg': {'precision': 0.44034242910647403, 'recall': 0.48314606741573035, 'f1-score': 0.35753122804145093, 'support': 89}}","{'precision': 1.0, 'recall': 0.22727272727272727, 'f1-score': 0.37037037037037035, 'support': 22}","{'precision': 0.4523809523809524, 'recall': 1.0, 'f1-score': 0.6229508196721312, 'support': 38}",2.0,0.49414252107957973,0.04337484941103319,[0. 1. 2.]
5,[0.03127384 0.03127384 0.01562548 0.0312531  0.0312531 ],[0. 0. 0. 0. 0.],[0.23690141 0.23690141 0.26351658 0.25974026 0.26509573],"SVC(kernel='linear', probability=True)",{},target_k,"{'0.0': {'precision': 0.42696629213483145, 'recall': 1.0, 'f1-score': 0.5984251968503937, 'support': 38}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 29}, '2.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 22}, 'accuracy': 0.42696629213483145, 'macro avg': {'precision': 0.14232209737827714, 'recall': 0.3333333333333333, 'f1-score': 0.19947506561679793, 'support': 89}, 'weighted avg': {'precision': 0.1823002146193662, 'recall': 0.42696629213483145, 'f1-score': 0.25550738741926926, 'support': 89}}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 22}","{'precision': 0.42696629213483145, 'recall': 1.0, 'f1-score': 0.5984251968503937, 'support': 38}",2.0,0.25243107780522356,0.012798806389309296,[0. 1. 2.]
6,[0.0316689  0.03127384 0.03125668 0.03123927 0.03124118],[0.       0.015625 0.       0.       0.      ],[0.58428129 0.53010819 0.51408755 0.59434205 0.60486603],"OrdinalClassifier(estimator=SVC(class_weight='balanced', kernel='linear',
                                probability=True),
                  reverse_classes=True)",{'reverse_classes': True},target_k,"{'0.0': {'precision': 0.6346153846153846, 'recall': 0.868421052631579, 'f1-score': 0.7333333333333333, 'support': 38}, '1.0': {'precision': 0.4, 'recall': 0.06896551724137931, 'f1-score': 0.1176470588235294, 'support': 29}, '2.0': {'precision': 0.59375, 'recall': 0.8636363636363636, 'f1-score': 0.7037037037037037, 'support': 22}, 'accuracy': 0.6067415730337079, 'macro avg': {'precision': 0.5427884615384615, 'recall': 0.6003409778364407, 'f1-score': 0.5182280319535222, 'support': 89}, 'weighted avg': {'precision': 0.5480661192739844, 'recall': 0.6067415730337079, 'f1-score': 0.5253922792587696, 'support': 89}}","{'precision': 0.59375, 'recall': 0.8636363636363636, 'f1-score': 0.7037037037037037, 'support': 22}","{'precision': 0.6346153846153846, 'recall': 0.868421052631579, 'f1-score': 0.7333333333333333, 'support': 38}",2.0,0.5655370208276638,0.036414555465724134,[2. 1. 0.]
7,[0.03125525 0.03124809 0.03125811 0.03167725 0.02617502],[0.01562548 0.         0.00551605 0.         0.01562452],[0.56417378 0.51334388 0.5775541  0.53854556 0.59917153],"OrdinalClassifier(estimator=SVC(kernel='linear', probability=True))",{'reverse_classes': False},target_k,"{'0.0': {'precision': 0.673469387755102, 'recall': 0.868421052631579, 'f1-score': 0.7586206896551724, 'support': 38}, '1.0': {'precision': 0.5, 'recall': 0.1724137931034483, 'f1-score': 0.25641025641025644, 'support': 29}, '2.0': {'precision': 0.6333333333333333, 'recall': 0.8636363636363636, 'f1-score': 0.7307692307692307, 'support': 22}, 'accuracy': 0.6404494382022472, 'macro avg': {'precision': 0.6022675736961451, 'recall': 0.6348237364571303, 'f1-score': 0.5819333922782198, 'support': 89}, 'weighted avg': {'precision': 0.6070243827868226, 'recall': 0.6404494382022472, 'f1-score': 0.5880944575249109, 'support': 89}}","{'precision': 0.6333333333333333, 'recall': 0.8636363636363636, 'f1-score': 0.7307692307692307, 'support': 22}","{'precision': 0.673469387755102, 'recall': 0.868421052631579, 'f1-score': 0.7586206896551724, 'support': 38}",2.0,0.558557767092268,0.029955506173894947,[0. 1. 2.]
8,[0.04218245 0.03168845 0.03168845 0.03168845 0.03168845],[0.00501752 0.         0.         0.01564789 0.01564789],[0.43598129 0.47669711 0.50284205 0.4934949  0.43550051],"SVC(class_weight='balanced', kernel='linear', probability=True)",{},target_u,"{'0.0': {'precision': 0.5970149253731343, 'recall': 0.9523809523809523, 'f1-score': 0.7339449541284403, 'support': 42}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}, '2.0': {'precision': 0.5909090909090909, 'recall': 0.8125, 'f1-score': 0.6842105263157896, 'support': 16}, 'accuracy': 0.5955056179775281, 'macro avg': {'precision': 0.39597467209407505, 'recall': 0.5882936507936508, 'f1-score': 0.47271849348140993, 'support': 89}, 'weighted avg': {'precision': 0.38796822831704597, 'recall': 0.5955056179775281, 'f1-score': 0.4693601853308666, 'support': 89}}","{'precision': 0.5909090909090909, 'recall': 0.8125, 'f1-score': 0.6842105263157896, 'support': 16}","{'precision': 0.5970149253731343, 'recall': 0.9523809523809523, 'f1-score': 0.7339449541284403, 'support': 42}",2.0,0.4689031718677733,0.028344079404438376,[0. 1. 2.]
9,[0.03125262 0.01563716 0.03125262 0.01561546 0.03123474],[0.         0.01561546 0.         0.         0.        ],[0.33333333 0.36433088 0.32887424 0.36088403 0.31384337],"SVC(kernel='linear', probability=True)",{},target_u,"{'0.0': {'precision': 0.47191011235955055, 'recall': 1.0, 'f1-score': 0.6412213740458015, 'support': 42}, '1.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 31}, '2.0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 16}, 'accuracy': 0.47191011235955055, 'macro avg': {'precision': 0.15730337078651685, 'recall': 0.3333333333333333, 'f1-score': 0.21374045801526717, 'support': 89}, 'weighted avg': {'precision': 0.22269915414720362, 'recall': 0.47191011235955055, 'f1-score': 0.30259885067329956, 'support': 89}}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 16}","{'precision': 0.47191011235955055, 'recall': 1.0, 'f1-score': 0.6412213740458015, 'support': 42}",2.0,0.340253168772081,0.019391802984248183,[0. 1. 2.]
